ticker,company_name,exchange,security_types,sector,market_cap_usd,total_revenue_usd,annual_revenue_growth_pct,net_income_usd,free_cash_flow_usd,cash_and_short_term_investments_usd,total_debt_usd,daily_dollar_volume_usd
CLMT,"Calumet, Inc",NASDAQ,common,Energy Minerals,4147917627.241746,4137100000.0000005,-1.2483887907576037,-33800000,73500000,,2258700000,68868047.82
WSFS,WSFS Financial Corporation,NASDAQ,common,Finance,4145491858.2123046,1357491000,-2.4782541228803696,287349000,294748000,,424764000,25544332.52
GEO,Geo Group Inc (The) REIT,NYSE,common,Commercial Services,4139435889.0645666,2631549000,8.575600465733825,254372000,26437000,,1637944000,57875862.5
IRTC,"iRhythm Holdings, Inc.",NASDAQ,common,Health Technology,4131912778.216952,747138000,26.240075425918196,-44551000,38978000,,727349000,123098087.25
BELFA,Bel Fuse Inc.,NASDAQ,common,Electronic Technology,4125233274.4792013,675455000,26.302375502999283,61536000,73336000,,34262000,66209000.129999995
SMR,NuScale Power Corporation,NYSE,common,Producer Manufacturing,4121046363.6086955,31479000,-15.024969631529222,-355794000,-778824000,,6692000,277642449.14
DK,"Delek US Holdings, Inc.",NYSE,common,Energy Minerals,4116026642.125743,10722900000,-9.528188859452253,-22800000,699500000,,3255200000,74723432.5
THO,"Thor Industries, Inc.",NYSE,common,Consumer Durables,4110970324.659328,9580049000,-4.622699084163566,258559000.00000003,199647000,,986634000,50075113.91
CCC,CCC Intelligent Solutions Holdings Inc.,NASDAQ,common,Technology Services,4105292920.0058227,1057001000,11.875635055038103,412000,307542000,,1379207000,49409646.94
VAC,Marriott Vacations Worldwide Corporation,NYSE,common,Consumer Services,4104393664.2179174,5032000000,1.308637004227904,-308000000,99000000,,5524000000,61617477.46
UCTT,"Ultra Clean Holdings, Inc.",NASDAQ,common,Producer Manufacturing,4104362625.254169,2054000000,-2.0785659801678107,-181200000,-113700000,,775900000,79954841.05000001
CRK,"Comstock Resources, Inc.",NYSE,common,Energy Minerals,4087198500.4920077,1928351000,53.72022113188596,392534000,-735224000,,3169938000,19122572.16
MWA,MUELLER WATER PRODUCTS,NYSE,common,Producer Manufacturing,4085808713.634249,1429700000,8.747242716969652,191700000,179600000,,452900000,22536661.880000003
BULL,Webull Corporation,NASDAQ,common,Technology Services,4079049220.2787323,570996806,46.32326728860331,24770704,,,76508677,79885074.88
ALM,Almonty Industries Inc.,NASDAQ,common,Non-Energy Minerals,4077370399.0970654,23269352.3685661,10.549725365808529,-115876565.48107399,-15777160,,118834867.974639,117536785.28999999
TENB,"Tenable Holdings, Inc.",NASDAQ,common,Technology Services,4075179428.964059,999405000,11.042409010456423,-36118000,255661000,,421562000,60849127
WSBC,"WesBanco, Inc.",NASDAQ,common,Finance,4065450604.6582136,1437823000,51.23055611943846,223105000,395754000,,1747256000,43915022.64
ATMU,Atmus Filtration Technologies Inc.,NYSE,common,Producer Manufacturing,4063456821.2899313,1764300000,5.672017249640633,207400000,190400000,,1056400000.0000001,44001288
IRT,"Independence Realty Trust, Inc.",NYSE,common,Finance,4057911387.7483487,657696000,2.759380346387307,56558000,170449000,,2446127000,54949002.379999995
EE,"Excelerate Energy, Inc.",NYSE,common,Utilities,4054125334.8345594,1228263000,44.25764912729891,39199000,24095000,,1392424000,8875724
CVBF,CVB Financial Corporation,NASDAQ,common,Finance,4047940986.1524982,648472000,-5.246100456621004,207919000,572497000,,1178374000,21123476
BNL,"Broadstone Net Lease, Inc.",NYSE,common,Finance,4043184905.959322,459141000,4.641797371767698,96495000,257107000.00000003,,2725241000,72560760.65
DNLI,Denali Therapeutics Inc.,NASDAQ,common,Health Technology,4039344191.020656,0,,-512539999.99999994,-437457000,,37686000,36448866.79
INDB,Independent Bank Corp.,NASDAQ,common,Finance,4035165757.35,1167172000,19.282367308979605,205122000,303831000,,701465000,19713875.23
DAVE,Dave Inc.,NASDAQ,common,Finance,4033163559.4362903,554182000,59.67165692816558,195865000,326542000,,268467000,135331217.14
ADPT,Adaptive Biotechnologies Corporation,NASDAQ,common,Health Technology,4029794874.8719964,276976000,54.7723754868488,-59499000,-24034000,,410499000,43097684.75
